timestamp,age_group,occupation,area,internet_access,device,bank_access,used_digital_payments,payment_frequency,payment_purpose,q10_trust_digital,q11_reliable_digital,q12_security_concern,q13_digital_familiarity,q14_heard_crypto,q15_crypto_understanding,q16_barriers,q17_what_helps,q18_feel_ready,q19_adopt_crypto,q20_bhutan_readiness,q13_digital_familiarity_num,q15_crypto_understanding_num,q19_adopt_crypto_num,readiness_score,barrier_poor_internet,barrier_lack_of_knowledge,barrier_security_concern,barrier_complicated_tech
2026-01-28 17:01:27-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Good,Poor internet,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,4,4.0,3,15.0,1,0,0,0
2026-01-29 09:43:26-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,1.0,1.0,5.0,Very familiar,Yes,Good,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs;Better internet access,1,Yes,Very ready,4,4.0,3,12.0,1,1,1,1
2026-01-29 09:43:59-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping,4.0,5.0,2.0,Very familiar,Yes,Basic,Poor internet,Better internet access,4,Yes,Somewhat ready,4,3.0,3,14.0,1,0,0,0
2026-01-29 09:44:04-06:00,18-24,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Bill and Services,4.0,4.0,2.0,Somewhat familiar,Yes,Good,Lack of knowledge,Training or awareness programs,4,Maybe,Somewhat ready,3,4.0,2,13.0,0,1,0,0
2026-01-29 09:45:11-06:00,18-24,Self-Employed,Rural,Yes,Smart phone,Yes,Yes,Daily,Shopping;Business transaction;Transfer to others,4.0,5.0,4.0,Very familiar,Yes,Good,Poor internet;No difficulty,Training or awareness programs;Better internet access,5,Yes,Very ready,4,4.0,3,16.0,1,0,0,0
2026-01-29 09:45:14-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping,5.0,4.0,1.0,Somewhat familiar,Yes,Basic,Poor internet,Training or awareness programs,4,Maybe,Somewhat ready,3,3.0,2,12.0,1,0,0,0
2026-01-29 09:46:19-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,5.0,Very familiar,Yes,Good,Poor internet,Training or awareness programs,4,Yes,Somewhat ready,4,4.0,3,15.0,1,0,0,0
2026-01-29 09:57:13-06:00,25-34,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,3.0,4.0,3.0,Very familiar,Yes,Very little,Poor internet;No difficulty,Better internet access,4,Yes,Somewhat ready,4,2.0,3,13.0,1,0,0,0
2026-01-29 09:57:49-06:00,18-24,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Daily,Bill and Services,4.0,5.0,1.0,Somewhat familiar,Yes,Basic,Poor internet;Security concern;Complicated technology,Training or awareness programs;Better internet access,5,Yes,Somewhat ready,3,3.0,3,14.0,1,0,1,1
2026-01-29 09:58:11-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services,5.0,5.0,1.0,Somewhat familiar,Yes,Good,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs;Better internet access,5,Maybe,Somewhat ready,3,4.0,2,14.0,1,1,1,1
2026-01-29 09:59:25-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Poor internet,Better internet access,4,Yes,Somewhat ready,3,3.0,3,13.0,1,0,0,0
2026-01-29 10:03:55-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Poor internet;No difficulty,Better internet access,4,Maybe,Very ready,3,3.0,2,12.0,1,0,0,0
2026-01-29 10:04:13-06:00,25-34,Self-Employed,Semi-Urban,Yes,Both,Yes,Yes,Weekly,Shopping,5.0,5.0,1.0,Somewhat familiar,Yes,Very little,Poor internet;No difficulty,Training or awareness programs;Better internet access,5,Maybe,Somewhat ready,3,2.0,2,12.0,1,0,0,0
2026-01-29 10:07:48-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Lack of knowledge;Security concern,Better internet access,4,Maybe,Somewhat ready,3,3.0,2,12.0,0,1,1,0
2026-01-29 10:12:26-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,5.0,Very familiar,Yes,Good,Poor internet;Security concern;Complicated technology,Better internet access,5,Yes,Very ready,4,4.0,3,16.0,1,0,1,1
2026-01-29 10:12:26-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,1.0,Very familiar,Yes,Basic,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs,5,Yes,Somewhat ready,4,3.0,3,15.0,1,1,1,1
2026-01-29 10:22:20-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services,4.0,5.0,4.0,Somewhat familiar,Yes,Very little,Poor internet;Lack of knowledge;Security concern,Training or awareness programs;Better internet access,4,Yes,Very ready,3,2.0,3,12.0,1,1,1,0
2026-01-29 10:25:39-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs;Better internet access,3,Yes,Somewhat ready,3,3.0,3,12.0,1,1,1,1
2026-01-29 10:39:53-06:00,25-34,Unemployed,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others;,4.0,4.0,2.0,Very familiar,Yes,Basic,Poor internet;Lack of knowledge;Security concern;Complicated technology;No difficulty,Training or awareness programs;Better internet access;,5,Maybe,Somewhat ready,4,3.0,2,14.0,1,1,1,1
2026-01-29 10:47:55-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Bill and Services,4.0,4.0,2.0,Somewhat familiar,Yes,Good,Poor internet;Complicated technology,Training or awareness programs,4,Yes,Very ready,3,4.0,3,14.0,1,0,0,1
2026-01-29 11:30:29-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,2.0,2.0,4.0,Very familiar,Yes,Good,Poor internet,Better internet access,5,Yes,Very ready,4,4.0,3,16.0,1,0,0,0
2026-01-29 11:43:26-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,5.0,2.0,Somewhat familiar,Yes,Good,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,3,4.0,3,14.0,1,1,1,1
2026-01-29 11:46:01-06:00,18-24,Fresh Graduate,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Transfer to others,3.0,3.0,2.0,Somewhat familiar,Yes,Basic,Poor internet,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,3,3.0,3,13.0,1,0,0,0
2026-01-29 12:27:55-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,3.0,2.0,Somewhat familiar,Yes,Basic,Poor internet;Security concern,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,3,3.0,3,13.0,1,0,1,0
2026-01-29 12:55:09-06:00,25-34,Other,Urban,Yes,Smart phone,Yes,Yes,Occasionally,,4.0,3.0,4.0,Somewhat familiar,Yes,Basic,,,4,Maybe,Somewhat ready,3,3.0,2,12.0,0,0,0,0
2026-01-29 13:03:50-06:00,25-34,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Complicated technology,Better internet access,4,Yes,Somewhat ready,3,3.0,3,13.0,0,0,0,1
2026-01-29 13:34:13-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Transfer to others,4.0,5.0,1.0,Very familiar,Yes,Good,No difficulty,Training or awareness programs,5,Yes,Somewhat ready,4,4.0,3,16.0,0,0,0,0
2026-01-29 13:55:31-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services;Transfer to others,5.0,4.0,1.0,Somewhat familiar,Yes,Good,Poor internet,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,3,4.0,3,14.0,1,0,0,0
2026-01-29 15:20:23-06:00,25-34,Working Professional,Rural,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,3.0,4.0,2.0,Very familiar,Yes,Good,Poor internet;Lack of knowledge;Security concern,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,4,4.0,3,15.0,1,1,1,0
2026-01-29 17:41:34-06:00,18-24,Student,Urban,Yes,Both,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,4.0,4.0,3.0,Somewhat familiar,Yes,Good,Poor internet;Lack of knowledge;Complicated technology,Training or awareness programs;Better internet access,4,Maybe,Somewhat ready,3,4.0,2,13.0,1,1,0,1
2026-01-29 17:43:38-06:00,18-24,Student,Urban,Yes,Smart phone,,Yes,Occasionally,Shopping;Business transaction;Transfer to others,5.0,5.0,1.0,Slightly familiar,Yes,Very little,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs,3,Maybe,Somewhat ready,2,2.0,2,9.0,1,1,1,1
2026-01-29 17:44:23-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Basic,No difficulty,Better internet access,2,Yes,Very ready,4,3.0,3,12.0,0,0,0,0
2026-01-29 17:49:17-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,2.0,1.0,Very familiar,Yes,Basic,Lack of knowledge;Security concern;Complicated technology,"Training or awareness programs;Better internet access;Strong government support, guidelines, and implementation of policies ",5,Yes,Somewhat ready,4,3.0,3,15.0,0,1,1,1
2026-01-29 18:25:13-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,1.0,1.0,5.0,Very familiar,Yes,Good,No difficulty,Better internet access,2,Yes,Somewhat ready,4,4.0,3,13.0,0,0,0,0
2026-01-29 19:22:15-06:00,35-44,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,1.0,Very familiar,Yes,Very little,No difficulty,Training or awareness programs;Better internet access,3,Maybe,Very ready,4,2.0,2,11.0,0,0,0,0
2026-01-29 19:23:40-06:00,35-44,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,1.0,Very familiar,Yes,Very little,Poor internet,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,4,2.0,3,13.0,1,0,0,0
2026-01-29 19:24:57-06:00,35-44,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,1.0,Very familiar,Yes,Very little,Poor internet;No difficulty,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,4,2.0,3,13.0,1,0,0,0
2026-01-29 19:26:42-06:00,35-44,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,1.0,Somewhat familiar,Yes,Very little,Poor internet,Training or awareness programs;Better internet access,4,Maybe,Somewhat ready,3,2.0,2,11.0,1,0,0,0
2026-01-29 19:29:30-06:00,35-44,Housewife,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,4.0,4.0,1.0,Slightly familiar,Yes,I only heard like upcoming ter which is kind of gold but i dont have any idea how to deal with it.,Poor internet;Lack of knowledge;Complicated technology;I am not really well literate so i jist know some basic to transfer money only,Training or awareness programs,2,No,Somewhat ready,2,1.0,1,6.0,1,1,0,1
2026-01-29 20:10:42-06:00,18-24,Civil Servant,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,3.0,2.0,Somewhat familiar,Yes,Basic,Poor internet,Training or awareness programs;Better internet access,4,Yes,Very ready,3,3.0,3,13.0,1,0,0,0
2026-01-29 20:16:35-06:00,25-34,Working Professional,Rural,Yes,Smart phone,Yes,Yes,Occasionally,Bill and Services,5.0,5.0,4.0,Somewhat familiar,Yes,Good,Complicated technology,Training or awareness programs;Better internet access,5,Yes,Somewhat ready,3,4.0,3,15.0,0,0,0,1
2026-01-29 21:01:00-06:00,18-24,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,3.0,3.0,3.0,Somewhat familiar,Yes,Very little,Security concern,Training or awareness programs,4,Yes,Somewhat ready,3,2.0,3,12.0,0,0,1,0
2026-01-29 21:06:55-06:00,25-34,Working Professional,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Bill and Services,5.0,5.0,1.0,Very familiar,Yes,Good,Poor internet,Better internet access,5,Yes,Very ready,4,4.0,3,16.0,1,0,0,0
2026-01-29 21:19:33-06:00,18-24,Student,Urban,Yes,Both,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Good,Poor internet,Training or awareness programs,5,Yes,Very ready,3,4.0,3,15.0,1,0,0,0
2026-01-29 21:25:30-06:00,25-34,Working Professional,Urban,Yes,Both,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,5.0,2.0,Very familiar,Yes,Basic,Poor internet;Lack of knowledge;Complicated technology,Training or awareness programs;Better internet access,5,Yes,Very ready,4,3.0,3,15.0,1,1,0,1
2026-01-30 09:18:14-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,3.0,1.0,Somewhat familiar,Yes,Very little,Security concern,Training or awareness programs,4,Yes,Somewhat ready,3,2.0,3,12.0,0,0,1,0
2026-01-30 10:20:57-06:00,25-34,Working Professional,Semi-Urban,Yes,Both,Yes,Yes,Daily,Shopping;Bill and Services,4.0,4.0,2.0,Very familiar,Yes,Good,Poor internet;Lack of knowledge;Security concern,Training or awareness programs;Better internet access,4,Maybe,Very ready,4,4.0,2,14.0,1,1,1,0
2026-02-01 00:01:12-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Transfer to others,5.0,4.0,2.0,Somewhat familiar,Yes,Basic,Poor internet,Training or awareness programs,5,Maybe,Very ready,3,3.0,2,13.0,1,0,0,0
2026-02-01 14:22:02-06:00,18-24,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping,3.0,3.0,3.0,Somewhat familiar,Yes,Basic,Lack of knowledge,Training or awareness programs,3,Maybe,Somewhat ready,3,3.0,2,11.0,0,1,0,0
2026-02-02 19:50:25-06:00,55+,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Daily,Bill and Services,4.0,4.0,2.0,Somewhat familiar,Yes,Good,Lack of knowledge;Security concern,Training or awareness programs,4,Maybe,Very ready,3,4.0,2,13.0,0,1,1,0
2026-02-02 19:50:41-06:00,45-54,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,1.0,Very familiar,Yes,Basic,No difficulty,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,4,3.0,3,14.0,0,0,0,0
2026-02-02 19:52:55-06:00,45-54,Unemployed,Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Transfer to others,4.0,4.0,1.0,Slightly familiar,Yes,,Poor internet;Complicated technology,"Training or awareness programs;Better internet access;If i was more educated, it would have been easier to use",2,No,Unsure,2,1.0,1,6.0,1,0,0,1
2026-02-02 19:54:25-06:00,45-54,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Basic,Poor internet,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,4,3.0,3,14.0,1,0,0,0
