timestamp,age_group,occupation,area,internet_access,device,bank_access,used_digital_payments,payment_frequency,payment_purpose,q10_trust_digital,q11_reliable_digital,q12_security_concern,q13_digital_familiarity,q14_heard_crypto,q15_crypto_understanding,q16_barriers,q17_what_helps,q18_feel_ready,q19_adopt_crypto,q20_bhutan_readiness,q13_digital_familiarity_num,q15_crypto_understanding_num,q19_adopt_crypto_num,readiness_score,barrier_poor_internet,barrier_lack_of_knowledge,barrier_security_concern,barrier_complicated_tech
2026-02-02 19:55:57-06:00,45-54,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Good,No difficulty,Better internet access,5,Yes,Somewhat ready,4,4.0,3,16.0,0,0,0,0
2026-02-02 19:57:26-06:00,45-54,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,5.0,5.0,2.0,Very familiar,Yes,Basic,Poor internet,Better internet access,5,Yes,Somewhat ready,4,3.0,3,15.0,1,0,0,0
2026-02-02 20:01:02-06:00,45-54,Housewife,Urban,Yes,I dont use digital payments,Yes,No,Never,I dont use ,5.0,5.0,3.0,Slightly familiar,No,,I don't use. I go to bank physically when i have to withdraw money,"If i was literate, it wouls have been very much easier for  me to use. Since i cannot read, i dont know how to use it.",1,No,Unsure,2,1.0,1,5.0,0,0,0,0
2026-02-02 20:03:36-06:00,45-54,Housewife,Urban,Yes,I dont use digital payments,Yes,No,Never,I use cash,5.0,5.0,2.0,Not familiar at all,Yes,,I don’t use. I use cash.,Training or awareness programs,2,No,Unsure,1,1.0,1,5.0,0,0,0,0
2026-02-02 20:05:24-06:00,45-54,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,5.0,5.0,1.0,Somewhat familiar,Yes,Very little,Poor internet,Better internet access,3,Maybe,Very ready,3,2.0,2,10.0,1,0,0,0
2026-02-02 20:06:54-06:00,45-54,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,2.0,Somewhat familiar,Yes,Very little,Poor internet,Training or awareness programs;Better internet access,3,Maybe,Somewhat ready,3,2.0,2,10.0,1,0,0,0
2026-02-02 20:08:21-06:00,45-54,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,1.0,Somewhat familiar,Yes,Basic,Poor internet,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,3,3.0,3,13.0,1,0,0,0
2026-02-02 20:13:55-06:00,55+,Unemployed,Urban,No,I dont use digital payments,No,No,Never,I dont use. Instead i dont even own a phone. ,3.0,3.0,,Not familiar at all,No,,Complicated technology;I am illiterate. I cant even use smart phone.,I am not very sure.,1,No,Unsure,1,1.0,1,4.0,0,0,0,1
2026-02-02 20:16:07-06:00,35-44,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,1.0,Somewhat familiar,Yes,Basic,Poor internet,Better internet access,4,Maybe,Somewhat ready,3,3.0,2,12.0,1,0,0,0
2026-02-03 09:54:31-06:00,55+,Unemployed,Urban,Yes,I dont use digital payments,Yes,No,Never,I use cash,,,,Not familiar at all,No,,"Since i am not bale to read and write, i cannot use it.",I am not sure ,1,No,Unsure,1,1.0,1,4.0,0,0,0,0
2026-02-03 09:56:01-06:00,55+,Retired,Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Transfer to others,5.0,5.0,1.0,Somewhat familiar,Yes,Very little,Complicated technology,Training or awareness programs,2,No,Unsure,3,2.0,1,8.0,0,0,0,1
2026-02-03 09:58:21-06:00,55+,Self-Employed,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,1.0,Somewhat familiar,Yes,,No difficulty,"For now, all good to me",3,Maybe,Unsure,3,1.0,2,9.0,0,0,0,0
2026-02-03 09:59:46-06:00,45-54,Working Professional,Semi-Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,4.0,4.0,1.0,Very familiar,Yes,Good,Sometimes poor internet.,All good.,4,Yes,Somewhat ready,4,4.0,3,15.0,0,0,0,0
2026-02-03 10:19:43-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Good,Lack of knowledge;Security concern;Complicated technology,Training or awareness programs;Better internet access,4,Maybe,Somewhat ready,3,4.0,2,13.0,0,1,1,1
2026-02-03 10:28:03-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Transfer to others,5.0,5.0,1.0,Somewhat familiar,Yes,Good,Poor internet;Complicated technology,Better internet access,5,Yes,Somewhat ready,3,4.0,3,15.0,1,0,0,1
2026-02-03 11:11:51-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,3.0,Very familiar,Yes,Basic,Poor internet;Security concern;Complicated technology,Better internet access,5,Yes,Somewhat ready,4,3.0,3,15.0,1,0,1,1
2026-02-03 11:22:45-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Business transaction;Transfer to others,4.0,3.0,3.0,Somewhat familiar,Yes,Basic,Poor internet,Training or awareness programs;Better internet access,4,Maybe,Somewhat ready,3,3.0,2,12.0,1,0,0,0
2026-02-03 11:49:57-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,5.0,4.0,1.0,Somewhat familiar,Yes,Basic,Poor internet;Lack of knowledge,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,3,3.0,3,13.0,1,1,0,0
2026-02-03 11:58:48-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services;Transfer to others,5.0,5.0,3.0,Very familiar,Yes,Basic,Poor internet,Better internet access,5,Yes,Somewhat ready,4,3.0,3,15.0,1,0,0,0
2026-02-03 12:08:26-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Often,Shopping;Bill and Services;Transfer to others,4.0,3.0,1.0,Somewhat familiar,Yes,Basic,No difficulty,Nil ,4,Maybe,Somewhat ready,3,3.0,2,12.0,0,0,0,0
2026-02-03 14:50:22-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others;,5.0,5.0,1.0,Very familiar,No,,No difficulty,Better internet access,5,Maybe,Somewhat ready,4,1.0,2,12.0,0,0,0,0
2026-02-03 15:49:33-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,3.0,4.0,1.0,Somewhat familiar,Yes,Very little,Poor internet;Security concern,Training or awareness programs,4,Yes,Somewhat ready,3,2.0,3,12.0,1,0,1,0
2026-02-03 17:21:14-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Basic,Poor internet,Better internet access,4,Yes,Very ready,4,3.0,3,14.0,1,0,0,0
2026-02-03 17:40:00-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Good,Poor internet;No difficulty,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,3,4.0,3,14.0,1,0,0,0
2026-02-03 17:41:11-06:00,25-34,Overseas Employee,Urban,Yes,Both,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,1.0,Very familiar,Yes,Basic,Complicated technology,Training or awareness programs;Better internet access,4,Yes,Somewhat ready,4,3.0,3,14.0,0,0,0,1
2026-02-03 17:45:12-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction,4.0,5.0,1.0,Somewhat familiar,Yes,Basic,Poor internet,Training or awareness programs,4,Yes,Somewhat ready,3,3.0,3,13.0,1,0,0,0
2026-02-03 17:45:16-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,No,Occasionally,Shopping,3.0,3.0,3.0,Somewhat familiar,Yes,Basic,Lack of knowledge,Better internet access,3,Maybe,Somewhat ready,3,3.0,2,11.0,0,1,0,0
2026-02-03 17:45:22-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Occasionally,Expenses,3.0,4.0,2.0,Slightly familiar,Yes,Basic,No difficulty,Better internet access,4,Maybe,Somewhat ready,2,3.0,2,11.0,0,0,0,0
2026-02-03 17:46:09-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Good,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs;Better internet access,4,Maybe,Somewhat ready,4,4.0,2,14.0,1,1,1,1
2026-02-03 17:46:30-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping,3.0,3.0,3.0,Very familiar,Yes,Basic,Poor internet,Better internet access,3,Yes,Somewhat ready,4,3.0,3,13.0,1,0,0,0
2026-02-03 17:48:01-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Bill and Services,3.0,3.0,3.0,Very familiar,Yes,Basic,Lack of knowledge,Training or awareness programs,3,Yes,Somewhat ready,4,3.0,3,13.0,0,1,0,0
2026-02-03 17:54:49-06:00,18-24,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Very little,Security concern,Training or awareness programs,5,Yes,Very ready,3,2.0,3,13.0,0,0,1,0
2026-02-03 17:55:53-06:00,18-24,Student,Semi-Urban,Yes,Both,Prefer not to say,Yes,Weekly,Shopping;Bill and Services,3.0,4.0,3.0,Very familiar,Yes,Good,Poor internet;Security concern,Training or awareness programs,3,Maybe,Somewhat ready,4,4.0,2,13.0,1,0,1,0
2026-02-03 17:58:56-06:00,25-34,Working Professional,Rural,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services;Business transaction,1.0,1.0,1.0,Somewhat familiar,Yes,Very little,No difficulty,Training or awareness programs,3,Yes,Somewhat ready,3,2.0,3,11.0,0,0,0,0
2026-02-03 18:22:31-06:00,18-24,Student,Urban,Yes,Both,Yes,Yes,Occasionally,Shopping,4.0,4.0,2.0,Very familiar,Yes,Basic,Poor internet,Better internet access,4,Yes,Very ready,4,3.0,3,14.0,1,0,0,0
2026-02-03 18:30:42-06:00,18-24,Student,Rural,Yes,Smart phone,Yes,Yes,Daily,Transfer to others;,3.0,3.0,2.0,Very familiar,Yes,Good,Security concern,Better internet access,4,Maybe,Somewhat ready,4,4.0,2,14.0,0,0,1,0
2026-02-03 18:59:35-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping,5.0,5.0,4.0,Very familiar,Yes,Basic,Poor internet,Better internet access,4,Maybe,Somewhat ready,4,3.0,2,13.0,1,0,0,0
2026-02-03 19:01:22-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping,4.0,5.0,2.0,Somewhat familiar,Yes,Good,Poor internet;Security concern,Better internet access,5,Yes,Very ready,3,4.0,3,15.0,1,0,1,0
2026-02-03 19:10:35-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Occasionally,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,No difficulty,Better internet access,5,Yes,Somewhat ready,3,3.0,3,14.0,0,0,0,0
2026-02-03 19:20:56-06:00,18-24,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Basic,Complicated technology,Training or awareness programs;Better internet access,3,Maybe,Somewhat ready,4,3.0,2,12.0,0,0,0,1
2026-02-03 19:26:53-06:00,55+,Retired,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Very little,Poor internet;Lack of knowledge;Complicated technology,Training or awareness programs;Better internet access,3,No,Somewhat ready,3,2.0,1,9.0,1,1,0,1
2026-02-03 19:27:05-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Transfer to others,4.0,5.0,1.0,Somewhat familiar,Yes,Very little,Lack of knowledge,Training or awareness programs,5,Maybe,Somewhat ready,3,2.0,2,12.0,0,1,0,0
2026-02-03 19:44:20-06:00,25-34,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,3.0,5.0,1.0,Very familiar,Yes,Very little,Poor internet,Better internet access,5,Yes,Somewhat ready,4,2.0,3,14.0,1,0,0,0
2026-02-03 20:06:40-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Weekly,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,4.0,2.0,Somewhat familiar,Yes,Very little,Poor internet,Training or awareness programs;Better internet access,3,Maybe,Not very ready,3,2.0,2,10.0,1,0,0,0
2026-02-03 20:15:09-06:00,18-24,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,2.0,Very familiar,Yes,Basic,Poor internet,Training or awareness programs;Better internet access,5,Yes,Somewhat ready,4,3.0,3,15.0,1,0,0,0
2026-02-03 20:17:25-06:00,18-24,Student,Overseas,Yes,Smart phone,Yes,No,Daily,Shopping,4.0,3.0,3.0,Slightly familiar,Yes,Basic,Security concern,Training or awareness programs,4,Yes,Very ready,2,3.0,3,12.0,0,0,1,0
2026-02-03 20:21:07-06:00,18-24,Unemployed,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Transfer to others,4.0,5.0,5.0,Very familiar,Yes,Very little,Poor internet,Training or awareness programs,4,Maybe,Not very ready,4,2.0,2,12.0,1,0,0,0
2026-02-03 20:22:11-06:00,18-24,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,3.0,4.0,Very familiar,Yes,Basic,Poor internet,Better internet access,5,Yes,Somewhat ready,4,3.0,3,15.0,1,0,0,0
2026-02-03 20:29:39-06:00,35-44,Self-Employed,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,3.0,4.0,1.0,Very familiar,Yes,Basic,Poor internet;Lack of knowledge;Security concern;Complicated technology,Training or awareness programs,5,Yes,Somewhat ready,4,3.0,3,15.0,1,1,1,1
2026-02-03 20:34:27-06:00,18-24,Student,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping,4.0,5.0,4.0,Very familiar,Yes,Basic,Poor internet,Better internet access,5,Yes,Very ready,4,3.0,3,15.0,1,0,0,0
2026-02-03 20:47:35-06:00,18-24,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,3.0,5.0,2.0,Somewhat familiar,Yes,Very little,Security concern,Training or awareness programs;Better internet access,4,Maybe,Somewhat ready,3,2.0,2,11.0,0,0,1,0
2026-02-03 22:29:07-06:00,18-24,Student,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping,4.0,5.0,2.0,Very familiar,Yes,Good,Lack of knowledge,Training or awareness programs,4,Yes,Somewhat ready,4,4.0,3,15.0,0,1,0,0
2026-02-03 22:58:53-06:00,25-34,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,3.0,Very familiar,Yes,Basic,Security concern;No difficulty,Training or awareness programs,3,Yes,Very ready,4,3.0,3,13.0,0,0,1,0
2026-02-04 12:01:31-06:00,18-24,Working Professional,Semi-Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,4.0,Very familiar,Yes,Basic,No difficulty,Training or awareness programs;Better internet access,4,Yes,Very ready,4,3.0,3,14.0,0,0,0,0
2026-02-04 12:08:55-06:00,25-34,Working Professional,Urban,Yes,Both,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,4.0,4.0,1.0,Very familiar,Yes,Very little,No difficulty,Training or awareness programs,4,Yes,Somewhat ready,4,2.0,3,13.0,0,0,0,0
2026-02-04 12:30:42-06:00,25-34,Working Professional,Urban,Yes,Both,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,3.0,Very familiar,Yes,Basic,No difficulty,Better internet access,5,Yes,Somewhat ready,4,3.0,3,15.0,0,0,0,0
2026-02-04 21:24:29-06:00,25-34,Working Professional,Rural,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Business transaction;Transfer to others,5.0,5.0,2.0,Somewhat familiar,Yes,Good,Poor internet,Better internet access,5,Yes,Very ready,3,4.0,3,15.0,1,0,0,0
2026-02-04 21:33:13-06:00,18-24,Student,Overseas,Yes,Smart phone,Yes,Yes,Daily,Shopping;Transfer to others,5.0,5.0,2.0,Somewhat familiar,Yes,Very little,No difficulty,Training or awareness programs;Better internet access,5,Yes,Very ready,3,2.0,3,13.0,0,0,0,0
2026-02-05 21:13:32-06:00,25-34,Working Professional,Rural,Yes,Smart phone,Yes,Yes,Daily,Shopping;Transfer to others,4.0,4.0,2.0,Somewhat familiar,Yes,Basic,Poor internet;Security concern;Complicated technology,Training or awareness programs;Better internet access,4,Maybe,Somewhat ready,3,3.0,2,12.0,1,0,1,1
2026-02-16 15:22:31-06:00,25-34,Working Professional,Urban,Yes,Smart phone,Yes,Yes,Daily,Shopping;Bill and Services;Transfer to others,5.0,5.0,4.0,Very familiar,Yes,Basic,No difficulty,Training or awareness programs;Better internet access,5,Yes,Somewhat ready,4,3.0,3,15.0,0,0,0,0
